0,1,2,3,4,5,6,7,8,9,10,11,12
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.03,60,8,.06,60,3,.02,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,0,0,0,8,.05,65,5,.05,65,5,.06,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,109,12,.09,56,10,.1,60,6,.04,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.09,42,15,.16,44,11,.08,60,4,.06,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.09,49,16,.12,56,7,.05,56,9,.08,52
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.03,52,10,.08,49,7,.05,56,5,.04,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,65,12,.08,65,6,.0694,65,4,.05,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.02,60,13,.09,60,6,.0694,65,6,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.06,60,14,.09,65,6,.06,60,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.03,60,6,.03,65,6,.06,60,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,12,.0694,71,5,.04,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.04,71,5,.03,71,7,.0694,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,15,.09,71,10,.06,65,6,.0694,65,8,.08,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,71,9,.06,65,6,.0694,65,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,78,9,.05,71,3,.03,60,1,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,8,.06,65,2,.03,60,1,0,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,78,11,.0694,65,6,.04,65,6,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,9,.06,65,5,.05,71,5,.04,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,78,6,.03,71,2,.01,71,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.08,71,7,.04,71,8,.05,65,6,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,11,.0694,65,4,.06,65,5,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.08,71,11,.06,71,8,.04,65,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,10,.05,71,3,.02,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.04,71,6,.04,71,7,.05,71,2,.01,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,11,.06,65,4,.04,65,4,.0694,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.06,78,7,.04,71,5,.0694,60,8,.05,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,78,9,.05,71,5,.03,65,8,.05,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
